"day_week","avg_steps","avg_total_distance","avg_very_min","avg_fair_min","avg_light_min","avg_sedentary_min","avg_calories_burned","avg_min_asleep"
"Monday   ",8495.958333333334,5.753750007599592,25.583333333333332,16.458333333333332,221.95833333333334,896.125,2280.375,441.2857142857143
"Saturday ",8381.083333333334,5.623333305120468,32.208333333333336,17.666666666666668,202.0,895.4166666666666,2296.4166666666665,429.2
"Tuesday  ",8582.5,5.781666633486748,30.433333333333334,16.9,204.73333333333332,882.7666666666667,2334.3,408.54545454545456
"Friday   ",7201.625,4.871666691266,23.208333333333332,16.458333333333332,197.875,934.9166666666666,2237.4583333333335,410.25
"Wednesday",7427.466666666666,5.004000020027161,20.366666666666667,14.2,188.43333333333334,927.3666666666667,2137.3333333333335,441.11764705882354
"Thursday ",7365.413793103448,5.045172399809134,23.482758620689655,14.206896551724137,186.3448275862069,884.9310344827586,2091.448275862069,351.72222222222223
"Sunday   ",6190.833333333333,4.23499997286126,35.5,13.958333333333334,161.45833333333334,900.3333333333334,2239.75,452.8125
