"day_week","number_of_day","avg_min_asleep","avg_hour_asleep"
"Monday   ",47,418.82978723404256,6.9804964539007095
"Saturday ",58,420.8103448275862,7.013505747126437
"Tuesday  ",65,404.53846153846155,6.742307692307692
"Friday   ",57,405.42105263157896,6.757017543859649
"Wednesday",66,434.6818181818182,7.24469696969697
"Thursday ",65,402.3692307692308,6.706153846153846
"Sunday   ",55,452.74545454545455,7.545757575757576
