"day_week","avg_steps"
"Monday   ",7780.866666666667
"Tuesday  ",8125.006578947368
"Friday   ",7448.230158730159
"Saturday ",8152.975806451613
"Thursday ",7405.836734693878
"Wednesday",7559.373333333333
"Sunday   ",6933.231404958678
