"day_week","sleep_logs","activity_logs","avg_min_asleep","avg_hour_asleep","avg_very_act_min","avg_fairly_act_min","avg_lightly_act_min","avg_sedentary_min"
"Monday   ",47,120,418.82978723404256,6.9804964539007095,23.108333333333334,14.0,192.05833333333334,1027.9416666666666
"Saturday ",58,124,420.8103448275862,7.013505747126437,21.919354838709676,15.201612903225806,207.1451612903226,964.2822580645161
"Tuesday  ",65,152,404.53846153846155,6.742307692307692,22.95394736842105,14.335526315789474,197.3421052631579,1007.3618421052631
"Friday   ",57,126,405.42105263157896,6.757017543859649,20.055555555555557,12.11111111111111,204.1984126984127,1000.3095238095239
"Wednesday",66,150,434.6818181818182,7.24469696969697,20.78,13.1,189.85333333333332,989.48
"Thursday ",65,147,402.3692307692308,6.706153846153846,19.408163265306122,11.959183673469388,185.42176870748298,961.9931972789116
"Sunday   ",55,121,452.74545454545455,7.545757575757576,19.983471074380166,14.52892561983471,173.97520661157026,990.2561983471074
