"day_week","logs","avg_steps","avg_very_act_min","avg_fairly_act_min","avg_lightly_act_min","avg_sedentary_min","avg_total_dist","avg_calories_burned"
"Monday   ",120,7780.866666666667,23.108333333333334,14.0,192.05833333333334,1027.9416666666666,5.552916660221914,2324.2083333333335
"Saturday ",124,8152.975806451613,21.919354838709676,15.201612903225806,207.1451612903226,964.2822580645161,5.854677422708201,2354.967741935484
"Tuesday  ",152,8125.006578947368,22.95394736842105,14.335526315789474,197.3421052631579,1007.3618421052631,5.832236808050718,2356.0131578947367
"Friday   ",126,7448.230158730159,20.055555555555557,12.11111111111111,204.1984126984127,1000.3095238095239,5.309920621326282,2331.785714285714
"Wednesday",150,7559.373333333333,20.78,13.1,189.85333333333332,989.48,5.488333327832321,2302.62
"Thursday ",147,7405.836734693878,19.408163265306122,11.959183673469388,185.42176870748298,961.9931972789116,5.312244923506566,2199.5714285714284
"Sunday   ",121,6933.231404958678,19.983471074380166,14.52892561983471,173.97520661157026,990.2561983471074,5.027190073693464,2263.0
